,model,C0,S0,pato0,k_ap,GFP
177,original,0.1,0.1,5.0,0.2782559402207126,1321.982781511222
178,original,0.1,0.1,5.0,0.3274549162877725,1321.9898392738685
179,original,0.1,0.1,5.0,0.38535285937105274,1321.995847175976
180,original,0.1,0.1,5.0,0.4534878508128582,1322.0009440467104
181,original,0.1,0.1,5.0,0.5336699231206302,1322.0052715784186
182,original,0.1,0.1,5.0,0.6280291441834247,1322.0089688820951
183,original,0.1,0.1,5.0,0.7390722033525775,1322.0121005591948
184,original,0.1,0.1,5.0,0.8697490026177834,1322.0147373225277
185,original,0.1,0.1,5.0,1.0235310218990248,1322.0169952236824
186,original,0.1,0.1,5.0,1.2045035402587811,1322.0189161832172
187,original,0.1,0.1,5.0,1.4174741629268048,1322.0205486191169
188,original,0.1,0.1,5.0,1.6681005372000592,1322.0219600211615
189,original,0.1,0.1,5.0,1.9630406500402684,1322.0231104350412
190,original,0.1,0.1,5.0,2.310129700083158,1322.0241134088924
191,original,0.1,0.1,5.0,2.71858824273294,1322.0249634160157
192,original,0.1,0.1,5.0,3.1992671377973845,1322.0257041846805
193,original,0.1,0.1,5.0,3.7649358067924634,1322.0263032160274
194,original,0.1,0.1,5.0,4.430621457583878,1322.0268237749885
195,original,0.1,0.1,5.0,5.214008287999684,1322.0272699908564
196,original,0.1,0.1,5.0,6.135907273413163,1322.0276460563184
197,original,0.1,0.1,5.0,7.220809018385457,1322.0279634719866
198,original,0.1,0.1,5.0,8.497534359086439,1322.0282359795656
199,original,0.1,0.1,5.0,10.0,1322.0284664150504
200,original,0.1,0.1,9.0,1e-06,933.1073081297274
201,original,0.1,0.1,9.0,1.1768119524349991e-06,934.6055615373673
202,original,0.1,0.1,9.0,1.3848863713938717e-06,936.3553557466531
203,original,0.1,0.1,9.0,1.6297508346206435e-06,938.3962926512428
204,original,0.1,0.1,9.0,1.917910261672489e-06,940.7729678688687
205,original,0.1,0.1,9.0,2.2570197196339214e-06,943.5357702890705
206,original,0.1,0.1,9.0,2.656087782946684e-06,946.740732234492
207,original,0.1,0.1,9.0,3.1257158496882352e-06,950.4494969570302
208,original,0.1,0.1,9.0,3.6783797718286343e-06,954.7291366063534
209,original,0.1,0.1,9.0,4.328761281083061e-06,959.6513624638549
210,original,0.1,0.1,9.0,5.0941380148163755e-06,965.2912487005411
211,original,0.1,0.1,9.0,5.994842503189409e-06,971.7252069689418
212,original,0.1,0.1,9.0,7.0548023107186455e-06,979.0286492711547
213,original,0.1,0.1,9.0,8.302175681319735e-06,987.272007830544
214,original,0.1,0.1,9.0,9.770099572992246e-06,996.5163458706272
215,original,0.1,0.1,9.0,1.1497569953977357e-05,1006.8082506256487
216,original,0.1,0.1,9.0,1.3530477745798076e-05,1018.1737155758119
